pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
43069,The Hundredth Chance,"Dell, Ethel M. (Ethel May), 1881-1939",1881,1939,PR,Young women -- Fiction; Love stories; England -- Social life and customs -- Fiction; Social classes -- England -- Fiction; Horse trainers -- Fiction,"Bestsellers, American, 1895-1923",932756,158094
766,David Copperfield,"Dickens, Charles, 1812-1870",1812,1870,PR,Orphans -- Fiction; Autobiographical fiction; England -- Fiction; Bildungsromans; Young men -- Fiction; Boys -- Fiction; Stepfathers -- Fiction; Child labor -- Fiction,Harvard Classics,2033321,344630
1400,Great Expectations,"Dickens, Charles, 1812-1870",1812,1870,PR,Orphans -- Fiction; England -- Fiction; Revenge -- Fiction; Bildungsromans; Young men -- Fiction; Man-woman relationships -- Fiction; Ex-convicts -- Fiction; Benefactors -- Fiction,Best Books Ever Listings,1058204,179356
26240,The Clansman: An Historical Romance of the Ku Klux Klan,"Dixon, Thomas, Jr., 1864-1946",1864,1946,PS,"Historical fiction; Political fiction; South Carolina -- Fiction; Racism -- Fiction; Ku Klux Klan (19th century) -- Fiction; White supremacy movements -- Fiction; Reconstruction (U.S. history, 1865-1877) -- Fiction","Bestsellers, American, 1895-1923",537192,91049
6037,The One Woman: A Story of Modern Utopia,"Dixon, Thomas, Jr., 1864-1946",1864,1946,PS,Utopias -- Fiction; Utopian fiction,"Bestsellers, American, 1895-1923",457867,77604
2554,Crime and Punishment,"Dostoyevsky, Fyodor, 1821-1881",1821,1881,PG,Detective and mystery stories; Psychological fiction; Saint Petersburg (Russia) -- Fiction; Murder -- Fiction; Crime -- Psychological aspects -- Fiction,Best Books Ever Listings; Crime Fiction; Harvard Classics,1201725,203682
28054,The Brothers Karamazov,"Dostoyevsky, Fyodor, 1821-1881",1821,1881,PG,Didactic fiction; Fathers and sons -- Fiction; Russia -- Social life and customs -- 1533-1917 -- Fiction; Brothers -- Fiction,Best Books Ever Listings,2039141,345617
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan, 1859-1930",1859,1930,PR,"Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",Detective Fiction; Contemporary Reviews; Banned Books from Anne Haight's list,607606,102984
2852,The Hound of the Baskervilles,"Doyle, Arthur Conan, 1859-1930",1859,1930,PR,"Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Dogs -- Fiction; Detective and mystery stories; Blessing and cursing -- Fiction; Dartmoor (England) -- Fiction","Detective Fiction; Bestsellers, American, 1895-1923",388046,65770
5267,Sister Carrie,"Dreiser, Theodore, 1871-1945",1871,1945,PS,New York (N.Y.) -- Fiction; Didactic fiction; Young women -- Fiction; Chicago (Ill.) -- Fiction; Mistresses -- Fiction,Banned Books from Anne Haight's list,919483,155844
