corpus,title,file,N,M,alpha,alpha0,alpha_surr,B_orig,B_surr,B_fgn,gap_surr,gap_fgn,frac_orig_gt_both,dfa_orig,dfa_fgn,evr1
wiki,adolfhitler,Adolf_Hitler.txt,19581,6931,0.7143290155779757,0.7003125000000001,0.7140192296466282,1.3196850684732582,0.9469445879739954,0.9387541639819578,0.3727404804992628,0.3809309044913004,1.0,0.7426125867629738,0.4920475887648684,0.06783566904815735
wiki,alberteinstein,Albert_Einstein.txt,9834,2831,0.6973445306065605,0.7003125000000001,0.6989426940482717,1.4966526068413026,0.9420566973346057,0.9584595769118472,0.5545959095066969,0.5381930299294554,0.9,0.7032583772924089,0.4923491998174449,0.08780348243989297
wiki,alexanderthegreat,Alexander_the_Great.txt,13420,3942,0.816932307572531,0.8043750000000001,0.8126277321786045,1.233209230359985,0.946485785285995,0.9625757318502879,0.28672344507399006,0.2706334985096972,0.9,0.7050653097405881,0.49468311609822424,0.08413863695267008
wiki,americancivilwar,American_Civil_War.txt,17775,6467,0.687480896483318,0.6887500000000001,0.6803666595057465,1.3684866049759572,0.9475759549999718,0.9417677064477221,0.4209106499759854,0.4267188985282351,1.0,0.7135400599379406,0.49649645057563074,0.04860655250656291
wiki,ancientrome,Ancient_Rome.txt,24550,9462,0.707222969069104,0.6887500000000001,0.709928407683123,1.3943788623665536,0.9444323758377001,0.9541142840485541,0.4499464865288535,0.4402645783179995,1.0,0.7584403230593599,0.5082528887855726,0.08014412878454771
wiki,artificialintelligence,Artificial_intelligence.txt,16286,6323,0.6769457761391279,0.6887500000000001,0.685845988126992,1.1755744420364977,0.9466086469493004,0.9415269743884858,0.2289657950871974,0.234047467648012,1.0,0.7132500041072488,0.49025227184821274,0.07510852322466219
wiki,beijing,Beijing.txt,12909,4432,0.6759742494684157,0.6656250000000001,0.6804789323783447,1.430388179556848,0.944852892480097,0.9603288649583808,0.4855352870767511,0.4700593145984673,1.0,0.7603653742498901,0.4837136288951707,0.04858656342683173
wiki,brazil,Brazil.txt,21663,8590,0.8690649883877679,0.8275000000000001,0.8709794318024153,1.473107217655064,0.9535076616123502,0.9384442384031837,0.5195995560427137,0.5346629792518802,1.0,0.7824100162757572,0.49407213657721627,0.05364584435445101
wiki,christianity,Christianity.txt,17866,6394,0.7239819250342685,0.7350000000000001,0.7313651885343759,1.2782193450366195,0.9416462578572109,0.9481905549193176,0.3365730871794086,0.3300287901173019,1.0,0.7324104139761576,0.5026082332229855,0.08434009795936726
wiki,coldwar,Cold_War.txt,19657,7575,0.6218061651592682,0.619375,0.6281306031107589,1.2817349339092166,0.9491466118770566,0.9451062317133886,0.33258832203215993,0.33662870219582797,1.0,0.7151222473471626,0.49752124301585327,0.05300873433491794
wiki,france,France.txt,23731,9464,0.8106816697508139,0.7812500000000001,0.8194319612063988,1.4961596266944812,0.943908190324166,0.9526451439733157,0.5522514363703153,0.5435144827211655,1.0,0.7910473172271286,0.5067476648504131,0.04799152001169605
wiki,hinduism,Hinduism.txt,16186,5619,0.7717478432281518,0.7812500000000001,0.7795416437718562,1.3053963664109625,0.9419701984566198,0.9392327302798502,0.3634261679543427,0.36616363613111225,1.0,0.7130230392782255,0.48629919247745435,0.09688010954018644
wiki,industrialrevolution,Industrial_Revolution.txt,10426,3316,0.7053162171146226,0.711875,0.7072989100274604,1.196711132158001,0.9428733847516367,0.9612765948048532,0.25383774740636433,0.2354345373531479,0.9,0.7131132612122765,0.5040029304674994,0.05633189029849147
wiki,isaacnewton,Isaac_Newton.txt,11389,3333,0.7811962101059934,0.7581250000000002,0.7821945516958335,1.302012583395396,0.9426770712813429,0.9748887303542155,0.359335512114053,0.3271238530411804,1.0,0.7288124624335902,0.5040452845261407,0.07486555899043697
wiki,italy,Italy.txt,13792,4556,0.8684807931742674,0.87375,0.8766589420600431,1.4186481026207276,0.9468440410284773,0.9680319245524298,0.4718040615922503,0.4506161780682978,1.0,0.7721822189875225,0.5000393560102087,0.05042025563799606
wiki,josephstalin,Joseph_Stalin.txt,11582,3695,0.7123099817083096,0.6887500000000001,0.715479009571435,1.2657976579485906,0.9399797069379525,0.9251243155577932,0.32581795101063804,0.3406733423907974,1.0,0.7366690507234888,0.49215419576703123,0.06497351488981003
wiki,judaism,Judaism.txt,19982,7401,0.8245555626947947,0.8043750000000001,0.8265468265877465,1.2688014303851936,0.9491010765588141,0.9440388963660314,0.3197003538263794,0.3247625340191621,1.0,0.7360969949340072,0.4979358108913585,0.08391664781590294
wiki,middleages,Middle_Ages.txt,11972,3813,0.7945366070561166,0.7812500000000001,0.7862846803928196,1.339985798288652,0.9492296882805752,0.9363095556515425,0.39075611000807686,0.40367624263710955,1.0,0.7364243699123685,0.5071793064664762,0.0639073030206549
wiki,moon,Moon.txt,12109,3989,0.7832946145027657,0.7812500000000001,0.7761395201424465,1.4629050407675437,0.9447153667203949,0.9453831198447975,0.5181896740471488,0.5175219209227462,1.0,0.7051994576601281,0.5008870074835998,0.08068891024781483
wiki,moscow,Moscow.txt,11601,3540,0.7609287023897195,0.7350000000000001,0.7670769015023676,1.5697515722324729,0.9477010220015979,0.94713704256803,0.622050550230875,0.6226145296644429,1.0,0.8058958765549245,0.5093789106931931,0.04878508950422568
wiki,napoleon,Napoleon.txt,20892,7744,0.6809664253269894,0.6656250000000001,0.6871215992644142,1.4223803460734263,0.9427708707354949,0.9570813113176655,0.4796094753379314,0.46529903475576084,1.0,0.7412830065402437,0.5128522447626511,0.054195964793477235
wiki,nelsonmandela,Nelson_Mandela.txt,13115,4211,0.6756064067089765,0.6656250000000001,0.6818089906527908,1.2826540746630328,0.9430540441592117,0.9639870786792027,0.33960003050382115,0.3186669959838301,1.0,0.7131358875936831,0.48129536260496675,0.05827383510750694
wiki,newyorkcity,New_York_City.txt,13837,4818,0.6918872087978827,0.6887500000000001,0.6984795335185258,1.3176485456917326,0.947883190913393,0.9494311470878763,0.3697653547783396,0.36821739860385627,1.0,0.7416704650869601,0.49398685333191333,0.04953327495702346
wiki,olympicgames,Olympic_Games.txt,12587,3978,0.7169627361841455,0.711875,0.7191901744396022,1.3400727784485977,0.9494625575175585,0.9262268210148255,0.39061022093103925,0.4138459574337723,1.0,0.7044139735074483,0.4981458927575684,0.05288596047943365
wiki,ottomanempire,Ottoman_Empire.txt,11609,3756,0.670379519834762,0.6425000000000001,0.6634613691063143,1.274104000630277,0.94308500652307,0.9378575705043808,0.33101899410720703,0.3362464301258963,1.0,0.7200270482895563,0.4908237867896399,0.06353645365459583
wiki,paris,Paris.txt,15074,5152,0.7959535269326662,0.7812500000000001,0.7942037092720746,1.3548841596985717,0.9492885053686037,0.9363310635613319,0.405595654329968,0.4185530961372398,1.0,0.7589501458388506,0.5015262886057024,0.05486720873789048
wiki,protestantism,Protestantism.txt,17565,6645,0.7302774898601183,0.7465625000000001,0.7294321127453997,1.2480397410088653,0.9423590764313421,0.9561584505183702,0.3056806645775232,0.29188129049049505,1.0,0.6815563475758863,0.48090630203447765,0.08440466664059788
wiki,romanempire,Roman_Empire.txt,15036,4955,0.7032962137792533,0.6887500000000001,0.6952978641720887,1.3417900840994443,0.9470166526603785,0.9570547396121561,0.39477343143906585,0.3847353444872882,1.0,0.7391383595404564,0.5005431903446074,0.07875878472441583
wiki,rome,Rome.txt,14848,4672,0.7556588001592568,0.7350000000000001,0.7545110009613935,1.3782866088708774,0.9481323715973693,0.9484850711433312,0.4301542372735081,0.42980153772754615,1.0,0.7759994609250108,0.5123165485248009,0.061126336275273134
wiki,russia,Russia.txt,22156,8841,0.8936831878480107,0.8506250000000001,0.8945635525453142,1.6040209860634291,0.9496183858915355,0.9468030370102063,0.6544026001718937,0.6572179490532228,1.0,0.7873261049201103,0.5075177797169713,0.048581157126096536
wiki,sigmundfreud,Sigmund_Freud.txt,12975,4330,0.7602803632949781,0.7350000000000001,0.7508279389340081,1.2374069988455285,0.9440234413610582,0.9546940822120943,0.2933835574844703,0.28271291663343423,1.0,0.6866750820190978,0.504631906692678,0.08657068433793257
wiki,slavery,Slavery.txt,10133,3097,0.7002087420263309,0.7003125000000001,0.6987867344475382,1.1886429584886902,0.9506375616786835,0.9620345976044524,0.23800539681000665,0.22660836088423775,1.0,0.6428207513226276,0.5022221864466181,0.06269666716054509
wiki,socialism,Socialism.txt,12332,4322,0.7671791645316602,0.7812500000000001,0.77393613028888,1.2531001391302687,0.9457710514133726,0.9547229283179182,0.30732908771689615,0.2983772108123506,1.0,0.6697208082548004,0.496841493492473,0.07063181282952381
