file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG52293_text.txt,12,16206,0.7596,0.735,0.6747,0.5372,0.4988,0.0205
PG52293_text.txt,13,16206,0.7596,0.735,0.6839,0.5018,0.5005,0.0202
PG52293_text.txt,14,16206,0.7596,0.735,0.7157,0.488,0.4907,0.0197
PG52293_text.txt,15,16206,0.7596,0.735,0.701,0.4836,0.5005,0.0251
PG52293_text.txt,16,16206,0.7596,0.735,0.6573,0.4645,0.4962,0.0169
PG52293_text.txt,17,16206,0.7596,0.735,0.6648,0.5092,0.4962,0.0181
PG52293_text.txt,18,16206,0.7596,0.735,0.5871,0.4897,0.5108,0.0232
PG52293_text.txt,19,16206,0.7596,0.735,0.629,0.4889,0.4971,0.0158
PG52293_text.txt,20,16206,0.7596,0.735,0.6657,0.4549,0.4991,0.0139
PG55262_text.txt,1,55990,0.6902,0.7234,0.7408,0.5113,0.5027,0.0169
PG55262_text.txt,2,55990,0.6902,0.7234,0.7542,0.5041,0.5073,0.0124
PG55262_text.txt,3,55990,0.6902,0.7234,0.8041,0.4962,0.4965,0.0193
PG55262_text.txt,4,55990,0.6902,0.7234,0.7097,0.5158,0.5013,0.0157
PG55262_text.txt,5,55990,0.6902,0.7234,0.6957,0.4942,0.5013,0.0163
PG55262_text.txt,6,55990,0.6902,0.7234,0.7819,0.4876,0.4982,0.0141
PG55262_text.txt,7,55990,0.6902,0.7234,0.675,0.52,0.4974,0.0185
PG55262_text.txt,8,55990,0.6902,0.7234,0.6712,0.5113,0.4974,0.014
PG55262_text.txt,9,55990,0.6902,0.7234,0.7181,0.5211,0.4916,0.0161
PG55262_text.txt,10,55990,0.6902,0.7234,0.7011,0.4815,0.497,0.0133
PG55262_text.txt,11,55990,0.6902,0.7234,0.6694,0.5226,0.5035,0.0133
PG55262_text.txt,12,55990,0.6902,0.7234,0.6909,0.4952,0.4987,0.018
PG55262_text.txt,13,55990,0.6902,0.7234,0.6959,0.4907,0.5007,0.0168
PG55262_text.txt,14,55990,0.6902,0.7234,0.685,0.4988,0.4997,0.0081
PG55262_text.txt,15,55990,0.6902,0.7234,0.672,0.4941,0.4956,0.0113
PG55262_text.txt,16,55990,0.6902,0.7234,0.6707,0.5002,0.4914,0.0088
PG55262_text.txt,17,55990,0.6902,0.7234,0.6929,0.4802,0.502,0.0089
PG55262_text.txt,18,55990,0.6902,0.7234,0.7093,0.4865,0.4995,0.0109
PG55262_text.txt,19,55990,0.6902,0.7234,0.6738,0.4966,0.5053,0.0157
PG55262_text.txt,20,55990,0.6902,0.7234,0.6575,0.4975,0.5014,0.0117
PG56852_text.txt,1,21666,0.87,0.8969,0.8093,0.5628,0.5076,0.0179
PG56852_text.txt,2,21666,0.87,0.8969,0.8762,0.4939,0.4983,0.0147
PG56852_text.txt,3,21666,0.87,0.8969,0.9646,0.5077,0.496,0.0201
PG56852_text.txt,4,21666,0.87,0.8969,0.8184,0.5304,0.4921,0.012
PG56852_text.txt,5,21666,0.87,0.8969,0.7064,0.4952,0.4997,0.0141
PG56852_text.txt,6,21666,0.87,0.8969,0.7511,0.4717,0.4986,0.0194
PG56852_text.txt,7,21666,0.87,0.8969,0.643,0.4779,0.5079,0.0225
PG56852_text.txt,8,21666,0.87,0.8969,0.715,0.5003,0.5,0.0229
PG56852_text.txt,9,21666,0.87,0.8969,0.8037,0.4993,0.4903,0.0169
PG56852_text.txt,10,21666,0.87,0.8969,0.7856,0.4981,0.5012,0.019
PG56852_text.txt,11,21666,0.87,0.8969,0.6973,0.5196,0.4952,0.0144
