file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG9662_text.txt,1,17858,0.8043,0.8044,0.6277,0.5092,0.4966,0.0136
PG9662_text.txt,2,17858,0.8043,0.8044,0.6633,0.5201,0.4956,0.0172
PG9662_text.txt,3,17858,0.8043,0.8044,0.6633,0.4746,0.4893,0.0169
PG9662_text.txt,4,17858,0.8043,0.8044,0.6432,0.5284,0.5,0.0259
PG9662_text.txt,5,17858,0.8043,0.8044,0.6248,0.5132,0.5002,0.0175
PG9662_text.txt,6,17858,0.8043,0.8044,0.6541,0.5161,0.4984,0.0128
PG9662_text.txt,7,17858,0.8043,0.8044,0.6435,0.4797,0.4818,0.0138
PG9662_text.txt,8,17858,0.8043,0.8044,0.67,0.5209,0.4985,0.0177
PG9662_text.txt,9,17858,0.8043,0.8044,0.6652,0.526,0.4992,0.0103
PG9662_text.txt,10,17858,0.8043,0.8044,0.6276,0.4961,0.4945,0.0161
PG9662_text.txt,11,17858,0.8043,0.8044,0.6298,0.503,0.4998,0.0194
PG9662_text.txt,12,17858,0.8043,0.8044,0.6267,0.4699,0.4986,0.0196
PG9662_text.txt,13,17858,0.8043,0.8044,0.6431,0.4908,0.5016,0.0185
PG9662_text.txt,14,17858,0.8043,0.8044,0.6131,0.4687,0.4902,0.023
PG9662_text.txt,15,17858,0.8043,0.8044,0.6365,0.4946,0.4936,0.0106
PG9662_text.txt,16,17858,0.8043,0.8044,0.6071,0.5212,0.4978,0.0252
PG9662_text.txt,17,17858,0.8043,0.8044,0.638,0.5175,0.5058,0.0155
PG9662_text.txt,18,17858,0.8043,0.8044,0.6046,0.4896,0.5017,0.0241
PG9662_text.txt,19,17858,0.8043,0.8044,0.6138,0.4913,0.4959,0.0184
PG9662_text.txt,20,17858,0.8043,0.8044,0.593,0.4916,0.4963,0.0217
