file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,1,0.878,0.775,0.0034,0.788,1.133,1.1142
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,2,1.083,0.7757,0.0028,0.782,1.3961,1.3849
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,3,0.9586,0.7748,0.002,0.7887,1.2372,1.2155
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,4,0.9458,0.7749,0.0021,0.7807,1.2205,1.2115
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,5,0.9403,0.7745,0.0032,0.7743,1.214,1.2144
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,6,0.9011,0.775,0.0029,0.7735,1.1627,1.1649
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,7,0.8978,0.7752,0.0027,0.7712,1.1581,1.1642
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,8,0.8654,0.7739,0.0021,0.7809,1.1182,1.1081
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,9,0.9355,0.7742,0.0027,0.7738,1.2082,1.2089
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,10,0.9248,0.7747,0.0022,0.7751,1.1937,1.1931
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,11,0.8468,0.7749,0.003,0.7769,1.0928,1.09
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,12,0.8875,0.7745,0.0025,0.7754,1.1459,1.1447
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,13,0.8589,0.7752,0.0031,0.7742,1.1079,1.1093
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,14,0.8529,0.7749,0.0019,0.7773,1.1005,1.0972
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,15,0.8236,0.7751,0.0023,0.7756,1.0626,1.0619
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,16,0.8672,0.7754,0.0029,0.7732,1.1183,1.1215
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,17,0.8541,0.7749,0.0033,0.7735,1.1023,1.1042
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,18,0.8609,0.7742,0.0031,0.7769,1.1119,1.1081
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,19,0.8405,0.7752,0.0026,0.7778,1.0842,1.0806
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.6,20,0.8608,0.7744,0.0018,0.7702,1.1117,1.1177
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.7,1,0.963,0.837,0.0046,0.8588,1.1506,1.1214
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.7,2,1.2783,0.8359,0.0038,0.8503,1.5292,1.5033
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.7,3,1.1039,0.8362,0.0028,0.8532,1.3201,1.2938
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.7,4,1.0626,0.8364,0.0032,0.8439,1.2705,1.2592
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.7,5,1.0646,0.8383,0.0037,0.8359,1.27,1.2736
PG33224_text.txt,412287,178029,176352,0.766,0.8044,0.7,6,1.0041,0.837,0.0041,0.8346,1.1996,1.2032
