file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG67363_text.txt,39628,0.705,1,1,0.08373,0.01054,-0.00074,0.00985,1,1,0
PG67363_text.txt,39628,0.705,1,2,0.03528,0.00731,-0.00344,0.00985,1,0,0
PG67363_text.txt,39628,0.705,1,5,0.02797,0.00447,-0.00026,0.00985,1,0,0
PG67363_text.txt,39628,0.705,1,10,0.02386,-0.00054,0.00394,0.00985,1,0,0
PG67363_text.txt,39628,0.705,1,20,0.0181,-0.00945,0.00804,0.00985,1,0,0
PG67363_text.txt,39628,0.705,1,50,0.00371,0.00474,-0.00351,0.00985,0,0,0
PG67363_text.txt,39628,0.705,1,100,0.01334,-0.00266,-0.00388,0.00985,1,0,0
PG67363_text.txt,39628,0.705,1,200,-0.00298,0.0031,0.00483,0.00985,0,0,0
PG67363_text.txt,39628,0.705,1,300,0.00673,0.00414,-0.01242,0.00985,0,0,1
PG67363_text.txt,39628,0.705,2,1,0.13613,-0.0009,-0.00015,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,2,0.10658,-0.00203,-0.00176,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,5,0.09218,-0.00351,0.00049,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,10,0.07995,0.00587,-0.00048,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,20,0.06987,0.00063,0.00421,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,50,0.05881,0.00548,-0.00519,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,100,0.04523,-0.00074,-0.00166,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,200,0.0498,0.00423,-0.0039,0.00985,1,0,0
PG67363_text.txt,39628,0.705,2,300,0.03356,-0.00262,-0.00563,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,1,0.10373,0.00866,0.00698,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,2,0.07841,3e-05,-0.00997,0.00985,1,0,1
PG67363_text.txt,39628,0.705,3,5,0.06687,-0.00101,0.00924,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,10,0.06211,0.00557,0.00464,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,20,0.05869,-0.00065,0.00583,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,50,0.04603,0.00167,0.00336,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,100,0.03256,-0.00069,-0.00797,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,200,0.03421,-0.00368,-0.00227,0.00985,1,0,0
PG67363_text.txt,39628,0.705,3,300,0.01851,-9e-05,0.00753,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,1,0.12562,0.00783,0.00323,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,2,0.06243,0.00388,-5e-05,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,5,0.04786,0.00341,-0.00222,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,10,0.04955,0.00136,0.00751,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,20,0.0493,0.00426,-0.00193,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,50,0.04094,0.00554,0.00173,0.00985,1,0,0
PG67363_text.txt,39628,0.705,4,100,0.0231,-0.00277,0.00866,0.00985,1,0,0
