file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG135_text.txt,12,224736,0.7721,0.8044,0.7078,0.517,0.5036,0.009
PG135_text.txt,13,224736,0.7721,0.8044,0.7036,0.5142,0.5045,0.0087
PG135_text.txt,14,224736,0.7721,0.8044,0.7442,0.4834,0.4945,0.0108
PG135_text.txt,15,224736,0.7721,0.8044,0.7429,0.5022,0.4961,0.0112
PG135_text.txt,16,224736,0.7721,0.8044,0.6923,0.5043,0.4954,0.0094
PG135_text.txt,17,224736,0.7721,0.8044,0.6502,0.5027,0.4975,0.0076
PG135_text.txt,18,224736,0.7721,0.8044,0.6484,0.4927,0.4973,0.0102
PG135_text.txt,19,224736,0.7721,0.8044,0.6691,0.4856,0.4998,0.0086
PG135_text.txt,20,224736,0.7721,0.8044,0.6747,0.5104,0.4989,0.0087
PG14355_text.txt,1,29161,0.7766,0.7813,0.6657,0.4883,0.4935,0.0129
PG14355_text.txt,2,29161,0.7766,0.7813,0.7443,0.468,0.5032,0.0195
PG14355_text.txt,3,29161,0.7766,0.7813,0.7436,0.4953,0.5002,0.0201
PG14355_text.txt,4,29161,0.7766,0.7813,0.7074,0.5203,0.4947,0.0116
PG14355_text.txt,5,29161,0.7766,0.7813,0.6821,0.4728,0.5094,0.016
PG14355_text.txt,6,29161,0.7766,0.7813,0.6709,0.4846,0.4978,0.0113
PG14355_text.txt,7,29161,0.7766,0.7813,0.6018,0.4922,0.503,0.014
PG14355_text.txt,8,29161,0.7766,0.7813,0.6923,0.5031,0.5014,0.0118
PG14355_text.txt,9,29161,0.7766,0.7813,0.6898,0.512,0.4963,0.0203
PG14355_text.txt,10,29161,0.7766,0.7813,0.6309,0.5099,0.4967,0.0193
PG14355_text.txt,11,29161,0.7766,0.7813,0.6236,0.4831,0.5086,0.0105
PG14355_text.txt,12,29161,0.7766,0.7813,0.6075,0.4665,0.4926,0.0194
PG14355_text.txt,13,29161,0.7766,0.7813,0.5813,0.5108,0.5114,0.0166
PG14355_text.txt,14,29161,0.7766,0.7813,0.5861,0.4828,0.4995,0.0101
PG14355_text.txt,15,29161,0.7766,0.7813,0.6581,0.4921,0.503,0.0215
PG14355_text.txt,16,29161,0.7766,0.7813,0.5818,0.4938,0.4975,0.0195
PG14355_text.txt,17,29161,0.7766,0.7813,0.6294,0.5198,0.5027,0.0216
PG14355_text.txt,18,29161,0.7766,0.7813,0.5851,0.5059,0.4857,0.0164
PG14355_text.txt,19,29161,0.7766,0.7813,0.6019,0.5204,0.5039,0.0115
PG14355_text.txt,20,29161,0.7766,0.7813,0.6314,0.5112,0.5007,0.0225
PG14393_text.txt,1,23188,0.7266,0.735,0.6215,0.4965,0.495,0.0166
PG14393_text.txt,2,23188,0.7266,0.735,0.7179,0.497,0.4889,0.0177
PG14393_text.txt,3,23188,0.7266,0.735,0.6539,0.4954,0.4949,0.0123
PG14393_text.txt,4,23188,0.7266,0.735,0.6451,0.5278,0.4921,0.0188
PG14393_text.txt,5,23188,0.7266,0.735,0.635,0.5016,0.5021,0.0153
PG14393_text.txt,6,23188,0.7266,0.735,0.5986,0.524,0.4999,0.0157
PG14393_text.txt,7,23188,0.7266,0.735,0.6461,0.4919,0.4925,0.0209
PG14393_text.txt,8,23188,0.7266,0.735,0.5733,0.5094,0.4988,0.0171
PG14393_text.txt,9,23188,0.7266,0.735,0.6126,0.4864,0.4993,0.0205
PG14393_text.txt,10,23188,0.7266,0.735,0.6212,0.4793,0.5036,0.0145
PG14393_text.txt,11,23188,0.7266,0.735,0.6316,0.5023,0.4931,0.0098
PG14393_text.txt,12,23188,0.7266,0.735,0.5568,0.458,0.4918,0.0165
PG14393_text.txt,13,23188,0.7266,0.735,0.6359,0.4909,0.5052,0.0134
PG14393_text.txt,14,23188,0.7266,0.735,0.564,0.4887,0.5125,0.0187
PG14393_text.txt,15,23188,0.7266,0.735,0.5565,0.4778,0.5007,0.0209
PG14393_text.txt,16,23188,0.7266,0.735,0.5902,0.5111,0.4969,0.0194
PG14393_text.txt,17,23188,0.7266,0.735,0.5751,0.4984,0.497,0.0116
PG14393_text.txt,18,23188,0.7266,0.735,0.5824,0.504,0.5065,0.0109
PG14393_text.txt,19,23188,0.7266,0.735,0.5911,0.5058,0.5055,0.0172
PG14393_text.txt,20,23188,0.7266,0.735,0.5173,0.5272,0.5038,0.0108
PG14598_text.txt,1,19205,0.6238,0.6309,0.6038,0.5062,0.5041,0.0161
PG14598_text.txt,2,19205,0.6238,0.6309,0.6239,0.4832,0.5017,0.0159
PG14598_text.txt,3,19205,0.6238,0.6309,0.7192,0.524,0.5005,0.0064
PG14598_text.txt,4,19205,0.6238,0.6309,0.5964,0.4963,0.5016,0.0182
PG14598_text.txt,5,19205,0.6238,0.6309,0.6707,0.5429,0.5027,0.0174
PG14598_text.txt,6,19205,0.6238,0.6309,0.5766,0.4966,0.5023,0.0184
PG14598_text.txt,7,19205,0.6238,0.6309,0.5991,0.5025,0.5084,0.0143
PG14598_text.txt,8,19205,0.6238,0.6309,0.6122,0.5279,0.503,0.0153
PG14598_text.txt,9,19205,0.6238,0.6309,0.6193,0.4915,0.5081,0.0201
PG14598_text.txt,10,19205,0.6238,0.6309,0.651,0.5051,0.497,0.022
PG14598_text.txt,11,19205,0.6238,0.6309,0.5838,0.4963,0.4874,0.0233
PG14598_text.txt,12,19205,0.6238,0.6309,0.581,0.4647,0.4921,0.013
PG14598_text.txt,13,19205,0.6238,0.6309,0.5905,0.5031,0.5028,0.0189
PG14598_text.txt,14,19205,0.6238,0.6309,0.6302,0.4981,0.5013,0.0126
PG14598_text.txt,15,19205,0.6238,0.6309,0.6221,0.4916,0.4975,0.0218
PG14598_text.txt,16,19205,0.6238,0.6309,0.5747,0.4741,0.5007,0.0148
PG14598_text.txt,17,19205,0.6238,0.6309,0.5975,0.5083,0.5017,0.0207
PG14598_text.txt,18,19205,0.6238,0.6309,0.5756,0.4986,0.5012,0.0148
PG14598_text.txt,19,19205,0.6238,0.6309,0.5609,0.5087,0.5066,0.0209
PG14598_text.txt,20,19205,0.6238,0.6309,0.5812,0.5002,0.4992,0.0156
PG145_text.txt,1,114343,0.7197,0.7581,0.6397,0.5611,0.4958,0.0117
PG145_text.txt,2,114343,0.7197,0.7581,0.6677,0.4877,0.5019,0.0167
PG145_text.txt,3,114343,0.7197,0.7581,0.7596,0.543,0.4997,0.0131
PG145_text.txt,4,114343,0.7197,0.7581,0.7024,0.487,0.4938,0.0177
