file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG599_text.txt,115961,0.7226,1,1,0.08064,0.01973,0.00161,0.00576,1,1,0
PG599_text.txt,115961,0.7226,1,2,0.03777,0.00799,0.00173,0.00576,1,1,0
PG599_text.txt,115961,0.7226,1,5,0.02229,0.00622,-0.00028,0.00576,1,1,0
PG599_text.txt,115961,0.7226,1,10,0.01805,0.00471,-0.00258,0.00576,1,0,0
PG599_text.txt,115961,0.7226,1,20,0.01253,0.00266,-0.0038,0.00576,1,0,0
PG599_text.txt,115961,0.7226,1,50,0.01076,-0.00184,-0.00071,0.00576,1,0,0
PG599_text.txt,115961,0.7226,1,100,0.0032,0.00418,-0.00075,0.00576,0,0,0
PG599_text.txt,115961,0.7226,1,200,0.00406,0.00449,-0.00366,0.00576,0,0,0
PG599_text.txt,115961,0.7226,1,300,-0.0038,-0.00241,0.00047,0.00576,0,0,0
PG599_text.txt,115961,0.7226,2,1,0.16642,0.00058,-0.0009,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,2,0.09982,-0.00148,0.00105,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,5,0.06291,-0.00292,-0.00157,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,10,0.04879,-0.00168,0.00166,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,20,0.0344,-0.00305,-0.00157,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,50,0.02107,0.00042,0.00321,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,100,0.01264,-0.00337,-0.00443,0.00576,1,0,0
PG599_text.txt,115961,0.7226,2,200,0.00601,-0.00249,-0.00657,0.00576,1,0,1
PG599_text.txt,115961,0.7226,2,300,0.00431,-0.00028,0.00062,0.00576,0,0,0
PG599_text.txt,115961,0.7226,3,1,0.09851,0.00865,-0.00054,0.00576,1,1,0
PG599_text.txt,115961,0.7226,3,2,0.06456,0.00714,-0.00354,0.00576,1,1,0
PG599_text.txt,115961,0.7226,3,5,0.03838,0.00094,0.0025,0.00576,1,0,0
PG599_text.txt,115961,0.7226,3,10,0.02799,0.00149,-0.00198,0.00576,1,0,0
PG599_text.txt,115961,0.7226,3,20,0.02483,0.00151,0.00606,0.00576,1,0,1
PG599_text.txt,115961,0.7226,3,50,0.01907,0.00506,-0.00278,0.00576,1,0,0
PG599_text.txt,115961,0.7226,3,100,0.01197,0.00362,-0.00239,0.00576,1,0,0
PG599_text.txt,115961,0.7226,3,200,0.00353,-0.00405,-0.00531,0.00576,0,0,0
PG599_text.txt,115961,0.7226,3,300,0.0012,-0.00202,0.00152,0.00576,0,0,0
PG599_text.txt,115961,0.7226,4,1,0.19022,0.00209,-0.00209,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,2,0.13099,0.00186,-0.00485,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,5,0.08302,0.0064,0.00042,0.00576,1,1,0
PG599_text.txt,115961,0.7226,4,10,0.06294,-0.00188,-0.0017,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,20,0.04866,-0.00164,0.00086,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,50,0.03411,-0.00391,-0.00144,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,100,0.01981,-0.00148,0.0046,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,200,0.01038,0.00196,-0.00014,0.00576,1,0,0
PG599_text.txt,115961,0.7226,4,300,0.00694,-0.00261,0.00086,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,1,0.1041,0.00142,0.00086,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,2,0.05646,-0.00366,-0.00031,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,5,0.04026,0.00135,0.00485,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,10,0.03778,0.00421,-0.00417,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,20,0.02659,-0.00356,-0.00016,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,50,0.01511,0.00386,-0.00098,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,100,0.00874,-0.00308,-0.00774,0.00576,1,0,1
PG599_text.txt,115961,0.7226,5,200,0.01188,-0.00198,-0.00205,0.00576,1,0,0
PG599_text.txt,115961,0.7226,5,300,0.00948,0.00253,0.00045,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,1,0.073,-0.00117,-0.00198,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,2,0.04438,-0.0027,0.00406,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,5,0.02436,-0.00134,-0.00416,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,10,0.01506,-0.00307,0.00073,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,20,0.01648,-0.0011,-0.00074,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,50,0.01281,0.00355,-0.00377,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,100,0.00774,0.00206,-0.00106,0.00576,1,0,0
PG599_text.txt,115961,0.7226,6,200,0.00491,0.00415,-0.00285,0.00576,0,0,0
PG599_text.txt,115961,0.7226,6,300,0.00568,0.00559,-0.00077,0.00576,0,0,0
PG599_text.txt,115961,0.7226,7,1,0.13401,0.00185,-0.0039,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,2,0.08076,-0.00402,-8e-05,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,5,0.04171,-0.00061,-2e-05,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,10,0.02968,0.00211,0.00068,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,20,0.02036,0.00375,-0.00344,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,50,0.01027,0.0007,0.00614,0.00576,1,0,1
PG599_text.txt,115961,0.7226,7,100,0.00819,0.00268,-0.00082,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,200,0.00791,-0.00011,0.00062,0.00576,1,0,0
PG599_text.txt,115961,0.7226,7,300,0.00411,0.00489,0.00202,0.00576,0,0,0
PG599_text.txt,115961,0.7226,8,1,0.11566,-0.00084,-0.00134,0.00576,1,0,0
PG599_text.txt,115961,0.7226,8,2,0.06956,-0.00272,0.00458,0.00576,1,0,0
PG599_text.txt,115961,0.7226,8,5,0.03371,0.00058,0.0026,0.00576,1,0,0
PG599_text.txt,115961,0.7226,8,10,0.0207,-0.00184,0.00035,0.00576,1,0,0
PG599_text.txt,115961,0.7226,8,20,0.01172,-0.00019,0.00513,0.00576,1,0,0
PG599_text.txt,115961,0.7226,8,50,0.00883,0.00011,0.0007,0.00576,1,0,0
PG599_text.txt,115961,0.7226,8,100,0.00012,-0.00049,-0.00172,0.00576,0,0,0
PG599_text.txt,115961,0.7226,8,200,0.00441,0.00061,-0.00487,0.00576,0,0,0
PG599_text.txt,115961,0.7226,8,300,-0.00173,-0.00165,0.00177,0.00576,0,0,0
PG599_text.txt,115961,0.7226,9,1,0.09806,-0.00052,-0.00279,0.00576,1,0,0
PG599_text.txt,115961,0.7226,9,2,0.06547,-0.00259,-0.00172,0.00576,1,0,0
PG599_text.txt,115961,0.7226,9,5,0.03402,0.00278,-0.00485,0.00576,1,0,0
PG599_text.txt,115961,0.7226,9,10,0.02802,0.00329,0.00581,0.00576,1,0,1
PG599_text.txt,115961,0.7226,9,20,0.01714,0.00011,0.00098,0.00576,1,0,0
PG599_text.txt,115961,0.7226,9,50,0.00935,-0.00124,0.00332,0.00576,1,0,0
PG599_text.txt,115961,0.7226,9,100,0.00256,-0.00381,0.00204,0.00576,0,0,0
PG599_text.txt,115961,0.7226,9,200,0.00177,0.00567,0.00361,0.00576,0,0,0
PG599_text.txt,115961,0.7226,9,300,0.00046,0.00406,-0.00716,0.00576,0,0,1
PG599_text.txt,115961,0.7226,10,1,0.06959,0.00395,-0.00204,0.00576,1,0,0
PG599_text.txt,115961,0.7226,10,2,0.0432,-0.00394,-0.00116,0.00576,1,0,0
PG599_text.txt,115961,0.7226,10,5,0.03017,-0.00201,0.00324,0.00576,1,0,0
PG599_text.txt,115961,0.7226,10,10,0.02457,0.00436,-0.00322,0.00576,1,0,0
PG599_text.txt,115961,0.7226,10,20,0.01837,-0.00526,-0.00178,0.00576,1,0,0
PG599_text.txt,115961,0.7226,10,50,0.00569,-0.00143,-0.00075,0.00576,0,0,0
PG599_text.txt,115961,0.7226,10,100,0.00815,-0.00041,0.00527,0.00576,1,0,0
PG599_text.txt,115961,0.7226,10,200,0.00288,-0.00124,-0.00235,0.00576,0,0,0
PG599_text.txt,115961,0.7226,10,300,-0.00096,0.00149,0.00098,0.00576,0,0,0
