file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,1,0.884,0.7737,0.0031,0.7953,1.1426,1.1115
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,2,1.0071,0.7747,0.0022,0.7712,1.3,1.3059
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,3,1.1509,0.7755,0.0023,0.7774,1.4841,1.4804
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,4,0.9466,0.7746,0.0026,0.7801,1.222,1.2134
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,5,0.9183,0.7753,0.0019,0.7732,1.1844,1.1876
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,6,0.867,0.7752,0.0025,0.7757,1.1183,1.1176
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,7,0.8812,0.7743,0.0019,0.7747,1.1381,1.1375
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,8,0.9088,0.7743,0.0024,0.7703,1.1738,1.1797
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,9,0.883,0.7746,0.0017,0.7754,1.1399,1.1387
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,10,0.8953,0.7744,0.0019,0.7764,1.156,1.1531
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,11,0.892,0.775,0.0023,0.7773,1.1509,1.1476
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,12,0.853,0.7747,0.002,0.7756,1.1012,1.0998
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,13,0.861,0.7742,0.0027,0.7772,1.1121,1.1079
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,14,0.85,0.7739,0.0026,0.7792,1.0984,1.0908
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,15,0.8543,0.7753,0.0023,0.7767,1.1019,1.0999
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,16,0.8661,0.7749,0.0028,0.7769,1.1177,1.1148
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,17,0.8644,0.7749,0.0027,0.7753,1.1155,1.1148
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,18,0.8414,0.7751,0.0018,0.7723,1.0855,1.0895
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,19,0.8439,0.7743,0.0023,0.7788,1.09,1.0836
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.6,20,0.842,0.7739,0.0022,0.774,1.0881,1.0879
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,1,0.9734,0.8372,0.003,0.8604,1.1627,1.1313
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,2,1.1199,0.8379,0.0028,0.8325,1.3366,1.3452
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,3,1.3371,0.8376,0.0029,0.8389,1.5962,1.5937
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,4,1.0704,0.8368,0.0026,0.8461,1.2792,1.2651
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,5,1.0656,0.8373,0.0028,0.8367,1.2726,1.2735
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,6,0.988,0.8385,0.0028,0.8413,1.1783,1.1743
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,7,0.9686,0.8358,0.0031,0.8349,1.159,1.1601
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,8,1.0179,0.8379,0.0029,0.8321,1.2148,1.2232
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,9,0.9817,0.8365,0.0022,0.8392,1.1736,1.1698
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,10,0.9759,0.8362,0.0036,0.8395,1.1671,1.1625
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,11,0.9669,0.8365,0.0034,0.8403,1.1558,1.1506
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,12,0.9399,0.8366,0.0025,0.8308,1.1234,1.1313
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,13,0.9462,0.838,0.0034,0.8355,1.1292,1.1325
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,14,0.9237,0.8376,0.0034,0.8416,1.1027,1.0975
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,15,0.9365,0.8367,0.0032,0.8403,1.1192,1.1145
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,16,0.9477,0.8361,0.0029,0.84,1.1335,1.1282
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,17,0.9601,0.8375,0.0033,0.838,1.1464,1.1458
PG2600_text.txt,564187,237950,230206,0.7227,0.7581,0.7,18,0.9212,0.8373,0.0037,0.8353,1.1003,1.1028
