file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG28948_text.txt,1,65017,0.6904,0.735,0.6807,0.5141,0.4942,0.0108
PG28948_text.txt,2,65017,0.6904,0.735,0.7201,0.5388,0.4901,0.0105
PG28948_text.txt,3,65017,0.6904,0.735,0.7045,0.5094,0.4906,0.0138
PG28948_text.txt,4,65017,0.6904,0.735,0.7765,0.5064,0.4979,0.0082
PG28948_text.txt,5,65017,0.6904,0.735,0.6711,0.5016,0.5005,0.0112
PG28948_text.txt,6,65017,0.6904,0.735,0.7323,0.5128,0.5047,0.0135
PG28948_text.txt,7,65017,0.6904,0.735,0.6528,0.5292,0.4972,0.0194
PG28948_text.txt,8,65017,0.6904,0.735,0.7062,0.5226,0.4971,0.0129
PG28948_text.txt,9,65017,0.6904,0.735,0.6819,0.5048,0.4979,0.0119
PG28948_text.txt,10,65017,0.6904,0.735,0.6888,0.4887,0.4907,0.0139
PG28948_text.txt,11,65017,0.6904,0.735,0.616,0.4868,0.4974,0.0106
PG28948_text.txt,12,65017,0.6904,0.735,0.6539,0.4897,0.4951,0.0198
PG28948_text.txt,13,65017,0.6904,0.735,0.6358,0.4778,0.4989,0.0143
PG28948_text.txt,14,65017,0.6904,0.735,0.6284,0.504,0.5042,0.0128
PG28948_text.txt,15,65017,0.6904,0.735,0.6823,0.5119,0.496,0.0113
PG28948_text.txt,16,65017,0.6904,0.735,0.6559,0.5058,0.4891,0.0127
PG28948_text.txt,17,65017,0.6904,0.735,0.5995,0.5217,0.4973,0.0112
PG28948_text.txt,18,65017,0.6904,0.735,0.6365,0.4886,0.5039,0.0142
PG28948_text.txt,19,65017,0.6904,0.735,0.6304,0.5005,0.4969,0.0113
PG28948_text.txt,20,65017,0.6904,0.735,0.6831,0.5122,0.4963,0.0077
