file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG2600_text.txt,230206,0.7227,1,1,0.09791,0.02078,0.00402,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,1,2,0.0634,0.01231,0.00018,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,1,5,0.04468,0.00827,-0.00098,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,1,10,0.03697,0.00226,-0.00057,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,1,20,0.03419,0.00284,-0.00234,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,1,50,0.02597,0.00219,-0.00104,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,1,100,0.01902,0.00418,-0.00277,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,1,200,0.01487,-0.00084,0.00316,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,1,300,0.00927,0.00277,0.00029,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,1,0.21993,-0.00398,0.00226,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,2,0.15502,0.00151,-0.00064,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,5,0.11422,-0.00039,0.00245,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,10,0.09618,0.00175,0.00315,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,20,0.07511,-0.00183,-0.00308,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,50,0.06208,0.00159,0.00225,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,100,0.04418,-0.00364,-0.00265,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,200,0.04471,0.00031,0.00026,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,2,300,0.03197,-0.00066,0.00232,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,1,0.2619,0.00419,-0.00024,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,3,2,0.19482,0.00463,0.00082,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,3,5,0.15275,0.00074,-0.00018,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,10,0.13508,-0.00112,0.00081,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,20,0.11964,-0.00033,-0.00115,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,50,0.09827,0.00218,-0.00106,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,100,0.08788,-0.00155,-0.00192,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,200,0.07011,0.00094,0.00094,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,3,300,0.06115,0.0008,0.004,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,1,0.19529,0.00615,-0.00046,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,4,2,0.1209,0.00352,0.00285,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,5,0.09066,0.004,0.00079,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,10,0.07697,-0.00039,0.00025,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,20,0.05884,0.00043,-0.00091,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,50,0.04903,0.00045,0.00123,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,100,0.0358,-0.00066,0.00031,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,200,0.0289,0.00193,0.00138,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,4,300,0.02242,-0.00166,0.00248,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,1,0.11548,-0.00098,-0.00125,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,2,0.07225,-0.00245,0.0022,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,5,0.06041,0.00127,-0.00067,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,10,0.05022,0.00067,-0.00069,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,20,0.04318,-0.00126,0.00201,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,50,0.0359,-0.00244,0.001,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,100,0.02923,0.00186,0.00488,0.00409,1,0,1
PG2600_text.txt,230206,0.7227,5,200,0.02049,0.00037,-0.00048,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,5,300,0.01983,0.00046,0.00101,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,6,1,0.09931,0.00183,0.00115,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,6,2,0.06491,0.00388,0.00155,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,6,5,0.04052,0.00621,-0.00379,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,6,10,0.03623,0.00122,0.00165,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,6,20,0.02837,0.00088,-0.00162,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,6,50,0.01941,0.0036,0.00475,0.00409,1,0,1
PG2600_text.txt,230206,0.7227,6,100,0.01711,0.00034,0.00139,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,6,200,0.01817,0.00429,-0.00072,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,6,300,0.01021,-0.00115,0.00302,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,1,0.1036,0.00062,0.00028,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,2,0.07151,0.00077,-0.00191,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,5,0.04743,-0.00131,0.00244,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,10,0.03734,0.00064,-0.00057,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,20,0.02595,0.00268,-4e-05,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,50,0.02284,0.00229,0.00211,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,100,0.01785,-0.00245,0.00222,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,7,200,0.01068,-0.00458,-0.00026,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,7,300,0.00791,-0.00127,0.00208,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,1,0.14352,-0.00269,-0.00263,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,2,0.09459,-0.00116,-0.00161,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,5,0.04912,-0.0013,0.00282,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,10,0.0359,-0.00104,0.0003,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,20,0.02723,-0.00163,0.00184,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,50,0.02192,-0.0009,0.00016,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,100,0.01186,-0.00105,-0.00133,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,200,0.00932,0.001,-0.00222,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,8,300,0.00978,0.00082,0.00133,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,1,0.14379,-0.00379,-1e-05,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,2,0.08714,-0.0018,-1e-05,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,5,0.05498,0.00215,0.0006,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,10,0.04319,-0.00421,-0.00134,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,9,20,0.03507,-0.00252,-0.00229,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,50,0.01801,-0.00274,0.00022,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,100,0.0141,5e-05,0.00218,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,9,200,0.01464,0.00532,0.00042,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,9,300,0.01179,0.00055,0.00185,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,1,0.11961,0.00156,-0.00237,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,2,0.07264,0.00213,-0.00143,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,5,0.0469,0.0002,-0.00205,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,10,0.03571,-0.00227,0.00189,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,20,0.02846,-0.00342,0.00228,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,50,0.01458,0.00064,-0.00189,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,100,0.01317,0.00069,-0.00329,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,200,0.01374,0.00317,0.00089,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,10,300,0.00657,0.00484,0.00362,0.00409,1,1,0
PG2600_text.txt,230206,0.7227,11,1,0.13179,-0.0012,0.00042,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,2,0.07506,0.00369,0.00264,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,5,0.05055,0.00081,-0.00295,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,10,0.04547,-0.0002,-0.00113,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,20,0.03329,0.00088,-0.00215,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,50,0.02688,0.00255,0.00114,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,100,0.02281,-0.00225,0.00063,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,200,0.01696,0.00107,0.00138,0.00409,1,0,0
PG2600_text.txt,230206,0.7227,11,300,0.01356,0.00355,-0.00032,0.00409,1,0,0
