file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG944_text.txt,81395,0.6611,1,1,0.11819,-0.0052,-0.00371,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,2,0.07778,-0.00135,-0.00319,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,5,0.0686,0.0027,0.00664,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,10,0.05771,-0.00157,0.00372,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,20,0.04186,-0.00442,0.00651,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,50,0.02907,0.00607,0.0105,0.00687,1,0,1
PG944_text.txt,81395,0.6611,1,100,0.02715,0.00266,0.00376,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,200,0.01349,0.00142,0.00118,0.00687,1,0,0
PG944_text.txt,81395,0.6611,1,300,0.00798,-0.00483,-0.00284,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,1,0.22922,0.00782,0.00225,0.00687,1,1,0
PG944_text.txt,81395,0.6611,2,2,0.13562,-0.00278,-0.00189,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,5,0.0685,0.00039,0.00342,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,10,0.04917,-0.00325,0.0042,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,20,0.03997,-0.00768,0.00311,0.00687,1,1,0
PG944_text.txt,81395,0.6611,2,50,0.03344,-0.00228,-0.00602,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,100,0.01387,-0.00055,-0.00161,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,200,0.0131,0.00298,0.00299,0.00687,1,0,0
PG944_text.txt,81395,0.6611,2,300,0.00607,0.00101,0.00628,0.00687,0,0,0
PG944_text.txt,81395,0.6611,3,1,0.21473,0.00264,-0.00765,0.00687,1,0,1
PG944_text.txt,81395,0.6611,3,2,0.14042,-0.00053,-0.00556,0.00687,1,0,0
PG944_text.txt,81395,0.6611,3,5,0.08791,-0.00451,-0.0056,0.00687,1,0,0
PG944_text.txt,81395,0.6611,3,10,0.07002,0.00088,0.00476,0.00687,1,0,0
PG944_text.txt,81395,0.6611,3,20,0.05401,-0.00187,-0.00131,0.00687,1,0,0
PG944_text.txt,81395,0.6611,3,50,0.02634,0.00222,-0.00082,0.00687,1,0,0
PG944_text.txt,81395,0.6611,3,100,0.02203,-0.00114,0.00084,0.00687,1,0,0
