file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG730_text.txt,1,56809,0.7258,0.7581,0.6467,0.5279,0.4935,0.0141
PG730_text.txt,2,56809,0.7258,0.7581,0.6917,0.4998,0.5039,0.0083
PG730_text.txt,3,56809,0.7258,0.7581,0.7204,0.4938,0.5067,0.0156
PG730_text.txt,4,56809,0.7258,0.7581,0.6793,0.5052,0.5028,0.0104
PG730_text.txt,5,56809,0.7258,0.7581,0.6543,0.4928,0.4983,0.0069
PG730_text.txt,6,56809,0.7258,0.7581,0.7199,0.51,0.5025,0.0093
PG730_text.txt,7,56809,0.7258,0.7581,0.6152,0.4994,0.5,0.0161
PG730_text.txt,8,56809,0.7258,0.7581,0.6519,0.515,0.4978,0.0092
PG730_text.txt,9,56809,0.7258,0.7581,0.6257,0.4976,0.5021,0.0127
PG730_text.txt,10,56809,0.7258,0.7581,0.6556,0.5043,0.4982,0.0175
PG730_text.txt,11,56809,0.7258,0.7581,0.5893,0.4962,0.5008,0.016
PG730_text.txt,12,56809,0.7258,0.7581,0.6003,0.499,0.5013,0.015
PG730_text.txt,13,56809,0.7258,0.7581,0.6352,0.5081,0.5015,0.0109
PG730_text.txt,14,56809,0.7258,0.7581,0.6041,0.4864,0.5013,0.0145
PG730_text.txt,15,56809,0.7258,0.7581,0.6642,0.4992,0.4966,0.0083
PG730_text.txt,16,56809,0.7258,0.7581,0.5808,0.51,0.5029,0.0129
PG730_text.txt,17,56809,0.7258,0.7581,0.5941,0.4937,0.4942,0.014
PG730_text.txt,18,56809,0.7258,0.7581,0.6551,0.5036,0.495,0.0138
PG730_text.txt,19,56809,0.7258,0.7581,0.609,0.4973,0.5047,0.0121
PG730_text.txt,20,56809,0.7258,0.7581,0.6377,0.4869,0.5,0.0126
