file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,1,0.84,0.7745,0.0033,0.7856,1.0845,1.0693
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,2,0.9422,0.7739,0.0023,0.7743,1.2175,1.2169
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,3,0.8601,0.7752,0.0036,0.7813,1.1096,1.1009
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,4,0.9678,0.7741,0.0032,0.772,1.2502,1.2535
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,5,0.8982,0.7748,0.0033,0.7746,1.1593,1.1596
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,6,0.8733,0.7745,0.0042,0.7726,1.1275,1.1304
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,7,0.8706,0.7753,0.0025,0.7776,1.1228,1.1197
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,8,0.8497,0.7738,0.0028,0.7721,1.0982,1.1006
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,9,0.8482,0.7754,0.0027,0.7815,1.094,1.0854
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,10,0.867,0.7743,0.0029,0.7773,1.1197,1.1153
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,11,0.8438,0.7745,0.0031,0.7755,1.0895,1.0881
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,12,0.8297,0.774,0.0025,0.775,1.0719,1.0705
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,13,0.8331,0.7741,0.0027,0.7729,1.0763,1.078
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,14,0.8571,0.7759,0.0031,0.7774,1.1046,1.1025
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,15,0.8643,0.7759,0.0032,0.7739,1.1139,1.1167
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,16,0.8206,0.7736,0.0029,0.7763,1.0608,1.057
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,17,0.8214,0.7743,0.0026,0.772,1.0609,1.064
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,18,0.8379,0.7745,0.0018,0.7697,1.0818,1.0886
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,19,0.8371,0.7749,0.0028,0.7735,1.0803,1.0822
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.6,20,0.823,0.773,0.0029,0.7739,1.0647,1.0634
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,1,0.9279,0.8366,0.0049,0.8485,1.1091,1.0936
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,2,1.056,0.8345,0.0038,0.8396,1.2654,1.2578
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,3,0.9388,0.8368,0.003,0.8443,1.1219,1.1119
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,4,1.0446,0.8364,0.0026,0.8376,1.2489,1.2471
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,5,0.9864,0.8359,0.0044,0.83,1.1801,1.1885
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,6,0.9563,0.8365,0.0045,0.8339,1.1433,1.1469
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,7,0.9507,0.8372,0.0045,0.8435,1.1355,1.127
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,8,0.9353,0.8357,0.0029,0.8336,1.1192,1.122
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,9,0.9169,0.8362,0.0039,0.8427,1.0965,1.088
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,10,0.967,0.8365,0.0031,0.8432,1.1559,1.1467
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,11,0.925,0.8377,0.004,0.8382,1.1043,1.1036
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,12,0.9163,0.8375,0.0036,0.8351,1.0941,1.0972
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,13,0.906,0.8359,0.0034,0.8323,1.0839,1.0886
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,14,0.938,0.8369,0.004,0.8306,1.1208,1.1293
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,15,0.9487,0.8365,0.0031,0.8426,1.1342,1.1259
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,16,0.8898,0.8364,0.0033,0.841,1.0638,1.058
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,17,0.8992,0.8377,0.0033,0.833,1.0734,1.0795
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,18,0.9079,0.8362,0.0035,0.8298,1.0858,1.0942
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,19,0.9142,0.8368,0.0026,0.8315,1.0924,1.0994
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.7,20,0.9026,0.8358,0.0036,0.8416,1.08,1.0726
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,1,1.0073,0.8953,0.0052,0.9085,1.1251,1.1087
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,2,1.1228,0.8921,0.0046,0.8948,1.2586,1.2549
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,3,1.0564,0.8961,0.0032,0.9005,1.1789,1.1732
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,4,1.1182,0.8942,0.005,0.8935,1.2505,1.2515
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,5,1.0926,0.8952,0.0047,0.8906,1.2205,1.2269
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,6,1.0564,0.8948,0.0056,0.892,1.1807,1.1844
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,7,1.0464,0.8952,0.0042,0.8974,1.1688,1.1661
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,8,1.0273,0.8949,0.0051,0.8949,1.148,1.1479
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,9,1.0017,0.8953,0.0052,0.911,1.1188,1.0996
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,10,1.0676,0.8948,0.0045,0.9041,1.1931,1.1809
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,11,0.9912,0.8954,0.005,0.8931,1.107,1.1098
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,12,0.9844,0.8954,0.0059,0.8971,1.0993,1.0973
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,13,0.9908,0.8944,0.0058,0.8964,1.1077,1.1054
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,14,1.0277,0.8925,0.0052,0.8973,1.1515,1.1454
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,15,1.0523,0.8934,0.0039,0.8955,1.1778,1.1751
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,16,0.9685,0.8948,0.0059,0.8992,1.0824,1.0771
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,17,0.9646,0.8923,0.0041,0.8926,1.081,1.0806
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,18,0.9791,0.8949,0.0041,0.886,1.0941,1.105
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,19,0.9876,0.8937,0.005,0.8968,1.1051,1.1012
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.8,20,0.9659,0.8924,0.0042,0.894,1.0823,1.0804
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,1,1.1327,0.9473,0.0079,0.9631,1.1957,1.1761
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,2,1.2073,0.9464,0.0058,0.9496,1.2756,1.2715
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,3,1.1998,0.95,0.009,0.9568,1.2629,1.2539
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,4,1.1879,0.9519,0.0061,0.9457,1.248,1.2562
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,5,1.176,0.9505,0.007,0.9409,1.2373,1.2499
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,6,1.1418,0.9465,0.0102,0.9441,1.2064,1.2095
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,7,1.1344,0.9458,0.0051,0.951,1.1994,1.1928
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,8,1.1121,0.95,0.007,0.9501,1.1707,1.1705
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,9,1.1218,0.9501,0.0081,0.96,1.1806,1.1685
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,10,1.1198,0.9479,0.0047,0.9534,1.1813,1.1745
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,11,1.0984,0.9468,0.0065,0.9438,1.1601,1.1637
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,12,1.0657,0.9478,0.0088,0.9444,1.1245,1.1284
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,13,1.0728,0.9511,0.0081,0.9437,1.128,1.1368
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,14,1.1285,0.9476,0.0081,0.9502,1.191,1.1877
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,15,1.138,0.9485,0.0054,0.9464,1.1998,1.2024
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,16,1.0643,0.9495,0.0071,0.9507,1.121,1.1195
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,17,1.0644,0.9453,0.0068,0.9479,1.1261,1.1229
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,18,1.0536,0.9496,0.0081,0.9434,1.1095,1.1169
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,19,1.0762,0.9472,0.0089,0.9519,1.1362,1.1306
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.9,20,1.0382,0.9489,0.0089,0.9582,1.0942,1.0835
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.95,1,1.1876,0.9685,0.0088,0.9873,1.2263,1.2029
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.95,2,1.2547,0.9753,0.0124,0.9749,1.2865,1.287
PG996_text.txt,424531,156251,154710,0.7108,0.7581,0.95,3,1.291,0.9786,0.012,1.0006,1.3193,1.2903
