file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG8387_text.txt,1,19988,0.7524,0.7581,0.6388,0.5138,0.5049,0.0189
PG8387_text.txt,2,19988,0.7524,0.7581,0.6846,0.4959,0.4985,0.011
PG8387_text.txt,3,19988,0.7524,0.7581,0.66,0.5105,0.5042,0.0195
PG8387_text.txt,4,19988,0.7524,0.7581,0.6252,0.4725,0.504,0.0155
PG8387_text.txt,5,19988,0.7524,0.7581,0.6194,0.5005,0.5113,0.0204
PG8387_text.txt,6,19988,0.7524,0.7581,0.6289,0.5034,0.4861,0.017
PG8387_text.txt,7,19988,0.7524,0.7581,0.6088,0.5067,0.5046,0.0172
PG8387_text.txt,8,19988,0.7524,0.7581,0.6491,0.4884,0.4969,0.0163
PG8387_text.txt,9,19988,0.7524,0.7581,0.639,0.4594,0.5041,0.0124
PG8387_text.txt,10,19988,0.7524,0.7581,0.6125,0.4821,0.5021,0.0149
PG8387_text.txt,11,19988,0.7524,0.7581,0.5791,0.4972,0.5056,0.017
PG8387_text.txt,12,19988,0.7524,0.7581,0.6078,0.4716,0.4988,0.0165
PG8387_text.txt,13,19988,0.7524,0.7581,0.5505,0.4965,0.5007,0.0166
PG8387_text.txt,14,19988,0.7524,0.7581,0.5654,0.4876,0.4912,0.0131
PG8387_text.txt,15,19988,0.7524,0.7581,0.5398,0.5097,0.5099,0.0131
PG8387_text.txt,16,19988,0.7524,0.7581,0.584,0.5169,0.4996,0.0153
PG8387_text.txt,17,19988,0.7524,0.7581,0.5519,0.4998,0.4958,0.0149
PG8387_text.txt,18,19988,0.7524,0.7581,0.5786,0.4726,0.4995,0.0125
PG8387_text.txt,19,19988,0.7524,0.7581,0.5661,0.5075,0.4916,0.0132
PG8387_text.txt,20,19988,0.7524,0.7581,0.5914,0.503,0.4998,0.0111
