file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG2600_text.txt,1,230206,0.7227,0.7581,0.7004,0.5771,0.5016,0.0109
PG2600_text.txt,2,230206,0.7227,0.7581,0.8131,0.5146,0.4981,0.0132
PG2600_text.txt,3,230206,0.7227,0.7581,0.8234,0.5232,0.5007,0.0119
PG2600_text.txt,4,230206,0.7227,0.7581,0.7751,0.5237,0.495,0.0097
PG2600_text.txt,5,230206,0.7227,0.7581,0.7794,0.5046,0.4987,0.0042
PG2600_text.txt,6,230206,0.7227,0.7581,0.7148,0.5049,0.4962,0.0108
PG2600_text.txt,7,230206,0.7227,0.7581,0.7043,0.497,0.497,0.007
PG2600_text.txt,8,230206,0.7227,0.7581,0.7075,0.4959,0.4963,0.0065
PG2600_text.txt,9,230206,0.7227,0.7581,0.7149,0.4987,0.5017,0.0086
PG2600_text.txt,10,230206,0.7227,0.7581,0.7138,0.4822,0.5048,0.0103
PG2600_text.txt,11,230206,0.7227,0.7581,0.7379,0.5121,0.4985,0.0126
PG2600_text.txt,12,230206,0.7227,0.7581,0.6643,0.4908,0.499,0.0068
PG2600_text.txt,13,230206,0.7227,0.7581,0.6448,0.4847,0.4963,0.0108
PG2600_text.txt,14,230206,0.7227,0.7581,0.6842,0.4956,0.4983,0.0113
PG2600_text.txt,15,230206,0.7227,0.7581,0.6719,0.5208,0.4978,0.0093
PG2600_text.txt,16,230206,0.7227,0.7581,0.6479,0.4853,0.493,0.0141
PG2600_text.txt,17,230206,0.7227,0.7581,0.6951,0.5051,0.4958,0.0066
PG2600_text.txt,18,230206,0.7227,0.7581,0.6341,0.489,0.4924,0.0133
PG2600_text.txt,19,230206,0.7227,0.7581,0.6357,0.4895,0.5011,0.0112
PG2600_text.txt,20,230206,0.7227,0.7581,0.6227,0.5039,0.5007,0.0084
