file,M_filtered,alpha,k,lag,rho_orig,rho_fgn,rho_surr,ci_95,orig_sig,fgn_sig,surr_sig
PG4300_text.txt,100688,0.7768,1,1,0.11981,0.01245,0.00167,0.00618,1,1,0
PG4300_text.txt,100688,0.7768,1,2,0.08134,0.01427,0.00041,0.00618,1,1,0
PG4300_text.txt,100688,0.7768,1,5,0.06037,0.00517,0.00194,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,1,10,0.04437,0.00229,-0.00204,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,1,20,0.04249,0.00534,0.0052,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,1,50,0.03444,0.00243,0.00381,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,1,100,0.02934,-0.0041,0.0033,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,1,200,0.02354,-0.00419,-0.00537,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,1,300,0.02055,0.00468,0.00037,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,1,0.19425,0.00068,0.00241,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,2,0.12754,-0.00499,0.00084,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,5,0.09236,-0.00279,-0.00045,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,10,0.07412,-0.0031,-0.00082,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,20,0.05861,0.00719,0.0002,0.00618,1,1,0
PG4300_text.txt,100688,0.7768,2,50,0.04432,-0.00424,0.0015,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,100,0.04112,0.00126,-0.00411,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,200,0.04149,0.00027,-0.00375,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,2,300,0.03827,-0.00138,-0.0007,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,1,0.25048,-0.0045,-0.00093,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,2,0.15698,0.00587,-0.00373,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,5,0.1002,0.00343,0.0028,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,10,0.07835,0.00092,0.0034,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,20,0.05743,0.00214,0.00141,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,50,0.0382,0.00278,-0.00137,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,100,0.02621,-0.00059,-0.00223,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,200,0.01693,-0.00084,-0.00285,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,3,300,0.02619,0.00095,0.00275,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,1,0.12272,0.00271,-0.001,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,2,0.09501,0.00011,0.00572,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,5,0.06612,0.00599,0.00219,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,10,0.06165,-0.00314,0.00108,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,20,0.05031,0.0063,-0.00355,0.00618,1,1,0
PG4300_text.txt,100688,0.7768,4,50,0.044,-0.00081,-0.00175,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,100,0.0354,-0.00074,0.00613,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,200,0.03152,-0.00412,3e-05,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,4,300,0.02855,-0.00012,-0.0016,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,1,0.14321,0.00529,-0.00539,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,2,0.09144,0.00318,-0.00859,0.00618,1,0,1
PG4300_text.txt,100688,0.7768,5,5,0.06438,0.00367,-0.00111,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,10,0.05082,-0.00289,-0.00251,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,20,0.03908,-0.00113,0.00026,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,50,0.02831,-0.00104,0.00045,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,100,0.02185,-0.00289,0.00057,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,200,0.01929,0.00438,0.00091,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,5,300,0.01519,0.0001,0.00289,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,1,0.11529,-0.0019,0.0005,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,2,0.07244,-0.00132,0.00113,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,5,0.04278,0.00029,-0.00233,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,10,0.03708,0.00514,0.00059,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,20,0.02333,-0.00558,-0.00105,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,50,0.01763,0.0004,0.00103,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,100,0.01815,-0.00114,0.00178,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,200,0.00752,-0.00186,-0.0009,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,6,300,0.0069,0.00168,-0.00417,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,1,0.13131,-0.0003,0.00424,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,2,0.08574,-0.003,0.0058,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,5,0.04638,-0.00426,-3e-05,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,10,0.0332,0.00421,0.00449,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,20,0.01909,-0.00216,-0.0027,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,50,0.01792,0.00404,0.00693,0.00618,1,0,1
PG4300_text.txt,100688,0.7768,7,100,0.01351,-0.00079,0.00379,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,7,200,0.00476,-0.00318,-0.00117,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,7,300,0.0057,-0.00091,-0.00324,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,8,1,0.13356,0.00175,3e-05,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,2,0.09741,-0.00407,-0.00492,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,5,0.05619,2e-05,0.00058,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,10,0.0432,0.0003,0.00188,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,20,0.02708,-0.0033,0.00231,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,50,0.01839,-0.00429,-0.00408,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,100,0.01489,-0.00141,-0.00238,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,200,0.00752,0.00283,-0.00291,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,8,300,0.01491,-0.00178,0.00312,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,9,1,0.10125,-0.00435,0.00191,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,9,2,0.06129,0.0003,0.00439,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,9,5,0.03269,0.00183,0.00053,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,9,10,0.02628,9e-05,0.00067,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,9,20,0.01645,0.00695,-0.00078,0.00618,1,1,0
PG4300_text.txt,100688,0.7768,9,50,0.00284,0.00064,-0.00064,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,9,100,-0.0005,0.00023,-0.00562,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,9,200,0.00488,0.00356,0.00165,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,9,300,0.00078,0.00203,-0.00081,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,10,1,0.10893,0.00261,-0.0028,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,2,0.06249,-0.00288,0.00123,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,5,0.03441,-0.00295,0.00339,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,10,0.02599,-0.00173,-0.00087,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,20,0.01838,0.00179,0.00269,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,50,0.01012,0.00027,0.00055,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,100,0.00986,0.0024,0.00135,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,10,200,0.0055,-0.00142,0.0002,0.00618,0,0,0
PG4300_text.txt,100688,0.7768,10,300,0.00341,0.00448,0.0074,0.00618,0,0,1
PG4300_text.txt,100688,0.7768,11,1,0.09415,0.0003,-0.00484,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,2,0.05671,-0.00142,0.00124,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,5,0.02787,-0.00235,0.00058,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,10,0.01618,-0.00393,0.00385,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,20,0.01317,-0.00325,0.00139,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,50,0.00667,-0.00068,0.00481,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,100,0.01145,-0.00313,0.00059,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,200,0.00909,-0.00214,-0.00166,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,11,300,0.00679,0.00345,0.00694,0.00618,1,0,1
PG4300_text.txt,100688,0.7768,12,1,0.11263,-0.00159,0.00285,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,2,0.07214,0.00339,-0.0016,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,5,0.03519,0.0028,0.00543,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,10,0.03456,0.0006,0.00576,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,20,0.01266,-0.00171,0.00253,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,50,0.01295,0.00281,0.00386,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,100,0.01343,0.00026,0.00298,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,200,0.01163,0.00308,0.00446,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,12,300,0.01015,-0.0058,0.00087,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,13,1,0.09249,9e-05,0.00019,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,13,2,0.05283,0.00047,-0.00142,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,13,5,0.03267,0.00081,-0.00156,0.00618,1,0,0
PG4300_text.txt,100688,0.7768,13,10,0.0258,-0.00346,-0.00559,0.00618,1,0,0
