file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,1,0.8619,0.7742,0.004,0.7882,1.1133,1.0936
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,2,1.028,0.7749,0.004,0.7734,1.3266,1.3291
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,3,0.9358,0.7737,0.0035,0.786,1.2095,1.1907
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,4,0.9911,0.7756,0.004,0.7762,1.2778,1.2768
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,5,0.8756,0.7744,0.0037,0.7765,1.1306,1.1276
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,6,0.884,0.7743,0.0034,0.7764,1.1417,1.1385
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,7,0.8534,0.7763,0.0039,0.7719,1.0994,1.1057
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,8,0.8708,0.7744,0.0038,0.777,1.1245,1.1208
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,9,0.8653,0.7744,0.0039,0.774,1.1174,1.1181
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,10,0.8443,0.774,0.0042,0.7691,1.0908,1.0978
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,11,0.8435,0.7757,0.0036,0.7771,1.0874,1.0855
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,12,0.841,0.7751,0.0033,0.7736,1.085,1.0872
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,13,0.8448,0.7746,0.0042,0.7721,1.0906,1.0941
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,14,0.8245,0.7745,0.0028,0.773,1.0645,1.0666
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,15,0.8451,0.7737,0.0042,0.7725,1.0923,1.094
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,16,0.8333,0.7746,0.0031,0.7784,1.0757,1.0705
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,17,0.8388,0.7752,0.0026,0.7743,1.082,1.0834
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,18,0.8287,0.775,0.0048,0.7721,1.0693,1.0733
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,19,0.8311,0.7768,0.0039,0.7763,1.0699,1.0706
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.6,20,0.821,0.7739,0.0049,0.7769,1.0607,1.0567
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,1,0.9425,0.8363,0.0037,0.8597,1.127,1.0962
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,2,1.1504,0.8354,0.0038,0.8358,1.377,1.3764
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,3,1.0443,0.8362,0.0036,0.8536,1.2488,1.2233
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,4,1.1259,0.8361,0.0039,0.8395,1.3467,1.3412
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,5,0.958,0.8369,0.0051,0.8323,1.1446,1.151
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,6,0.967,0.8363,0.0049,0.8349,1.1562,1.1582
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,7,0.9432,0.8386,0.0057,0.8361,1.1247,1.1281
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,8,0.9643,0.8358,0.0054,0.8409,1.1537,1.1467
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,9,0.9475,0.8373,0.0034,0.8372,1.1315,1.1317
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,10,0.9163,0.8358,0.0049,0.8376,1.0963,1.094
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,11,0.9142,0.8373,0.0038,0.8326,1.0919,1.098
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,12,0.9195,0.8359,0.0048,0.8333,1.1001,1.1035
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,13,0.9225,0.8374,0.0058,0.839,1.1016,1.0995
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,14,0.9087,0.8381,0.005,0.8395,1.0842,1.0824
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,15,0.8963,0.8363,0.0052,0.8363,1.0717,1.0717
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,16,0.913,0.8388,0.0055,0.8456,1.0885,1.0796
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,17,0.9001,0.8366,0.0047,0.8339,1.0759,1.0795
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,18,0.902,0.8366,0.0049,0.8326,1.0782,1.0833
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,19,0.9101,0.8355,0.005,0.8365,1.0893,1.0879
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.7,20,0.8878,0.8373,0.0052,0.8428,1.0604,1.0534
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,1,0.9863,0.8934,0.0051,0.9148,1.104,1.0782
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,2,1.222,0.8935,0.005,0.8954,1.3677,1.3647
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,3,1.1263,0.8945,0.0063,0.9117,1.2591,1.2353
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,4,1.2648,0.8958,0.006,0.901,1.4119,1.4037
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,5,1.0144,0.8952,0.0045,0.8997,1.1332,1.1276
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,6,1.0369,0.8928,0.0065,0.8981,1.1613,1.1545
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,7,1.0211,0.8951,0.0076,0.9033,1.1409,1.1305
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,8,1.0353,0.8931,0.0044,0.8999,1.1593,1.1505
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,9,1.0151,0.8938,0.0048,0.8958,1.1356,1.1331
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,10,0.9954,0.8923,0.0054,0.9089,1.1156,1.0953
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,11,0.9713,0.8944,0.0069,0.898,1.086,1.0816
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,12,0.9722,0.8951,0.0069,0.8828,1.0862,1.1014
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,13,0.9932,0.8942,0.0053,0.9043,1.1107,1.0983
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,14,0.983,0.8964,0.0046,0.8923,1.0966,1.1017
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,15,0.9557,0.8947,0.0067,0.8838,1.0681,1.0814
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,16,0.9759,0.8968,0.0051,0.891,1.0882,1.0953
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,17,0.9639,0.8948,0.0039,0.8916,1.0773,1.0811
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,18,0.9835,0.8964,0.0066,0.8927,1.0972,1.1017
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,19,0.979,0.8955,0.0056,0.8939,1.0933,1.0953
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.8,20,0.9526,0.8961,0.0069,0.8942,1.063,1.0654
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,1,1.0221,0.9464,0.0095,0.9745,1.0801,1.0489
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,2,1.2614,0.9478,0.0096,0.943,1.3308,1.3377
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,3,1.2491,0.9488,0.011,0.9546,1.3166,1.3085
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,4,1.4605,0.946,0.0106,0.9555,1.544,1.5286
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,5,1.0633,0.9521,0.0072,0.9659,1.1168,1.1009
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,6,1.105,0.9478,0.0089,0.9682,1.1658,1.1413
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,7,1.1274,0.9486,0.0072,0.9812,1.1885,1.149
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,8,1.0986,0.9455,0.0078,0.9637,1.1619,1.14
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,9,1.0754,0.9484,0.007,0.9392,1.1338,1.1449
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,10,1.0802,0.9463,0.0074,0.9588,1.1415,1.1267
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,11,1.0539,0.9491,0.0075,0.9421,1.1104,1.1187
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,12,1.0117,0.951,0.0076,0.9476,1.0638,1.0675
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,13,1.0477,0.9446,0.0093,0.9634,1.1091,1.0875
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,14,1.0884,0.9474,0.0103,0.9404,1.1488,1.1574
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,15,1.0426,0.9495,0.0097,0.9385,1.0981,1.1109
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,16,1.0461,0.9511,0.0095,0.9519,1.0999,1.099
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,17,1.0239,0.9473,0.0101,0.958,1.0809,1.0688
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,18,1.0591,0.9484,0.0086,0.9516,1.1166,1.113
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,19,1.064,0.9484,0.0086,0.9513,1.1219,1.1185
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.9,20,1.0342,0.9466,0.0063,0.9461,1.0926,1.0932
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,1,1.0107,0.9703,0.0105,0.9655,1.0416,1.0468
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,2,1.265,0.9704,0.0186,0.9717,1.3036,1.3019
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,3,1.4088,0.9807,0.0103,0.982,1.4365,1.4346
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,4,1.4688,0.9709,0.0098,0.9948,1.5129,1.4765
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,5,1.0824,0.9767,0.01,0.9821,1.1083,1.1021
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,6,1.1064,0.9754,0.0138,0.9832,1.1344,1.1253
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,7,1.2025,0.9768,0.0155,0.9872,1.2311,1.2181
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,8,1.1568,0.976,0.0131,0.9618,1.1852,1.2027
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,9,1.1003,0.9714,0.0151,0.9642,1.1327,1.1412
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,10,1.1666,0.9705,0.0126,0.9666,1.2022,1.2069
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,11,1.1091,0.969,0.0158,0.9654,1.1446,1.1488
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,12,1.0466,0.9732,0.013,0.9859,1.0754,1.0615
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,13,1.0595,0.9718,0.0106,0.9597,1.0902,1.104
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,14,1.1386,0.9727,0.0146,0.9395,1.1706,1.2119
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,15,1.062,0.9718,0.0108,0.9767,1.0928,1.0873
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,16,1.0805,0.9758,0.0151,0.9696,1.1072,1.1143
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,17,1.0628,0.9701,0.012,0.9739,1.0956,1.0913
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,18,1.0937,0.9731,0.0108,0.9743,1.1239,1.1226
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,19,1.1019,0.9734,0.0127,0.9782,1.132,1.1265
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.95,20,1.0274,0.9727,0.0111,0.9709,1.0563,1.0582
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.99,1,1.4016,0.9926,0.0224,0.971,1.412,1.4434
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.99,2,1.2382,0.9897,0.0225,1.0105,1.2511,1.2254
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.99,3,1.3446,0.9936,0.0301,0.9494,1.3533,1.4163
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.99,4,1.3333,1.0064,0.0261,0.9378,1.3248,1.4217
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.99,5,1.0471,0.9867,0.0255,1.0344,1.0613,1.0123
PG23784_text.txt,260096,106107,105510,0.7439,0.7813,0.99,6,1.0996,0.9986,0.0326,1.0278,1.1011,1.0699
