file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,1,0.8403,0.7746,0.0037,0.7817,1.0847,1.0749
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,2,0.9971,0.7731,0.006,0.7813,1.2898,1.2761
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,3,0.9205,0.7755,0.0046,0.7761,1.187,1.186
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,4,0.8939,0.7736,0.0046,0.7797,1.1554,1.1465
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,5,0.8914,0.7737,0.0042,0.7688,1.1521,1.1594
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,6,0.8941,0.7747,0.0056,0.774,1.1542,1.1552
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,7,0.8814,0.7754,0.0054,0.7818,1.1367,1.1274
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,8,0.8791,0.776,0.0069,0.7722,1.1328,1.1383
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,9,0.8529,0.7763,0.0058,0.7827,1.0986,1.0896
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,10,0.857,0.7748,0.0044,0.7801,1.1062,1.0987
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,11,0.8478,0.7746,0.0043,0.7756,1.0946,1.0932
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,12,0.8565,0.7735,0.0046,0.7821,1.1073,1.0951
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,13,0.8203,0.7772,0.0042,0.7749,1.0556,1.0586
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,14,0.8592,0.7756,0.0054,0.7763,1.1079,1.1068
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,15,0.8447,0.7742,0.0046,0.7787,1.0911,1.0848
PG1400_text.txt,182939,61858,61005,0.6932,0.735,0.6,16,0.8479,0.7752,0.0045,0.7687,1.0937,1.1029
