file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG31824_text.txt,1,109804,0.7136,0.7581,0.711,0.553,0.5043,0.0126
PG31824_text.txt,2,109804,0.7136,0.7581,0.7354,0.5347,0.4984,0.0109
PG31824_text.txt,3,109804,0.7136,0.7581,0.7666,0.5566,0.5023,0.0125
PG31824_text.txt,4,109804,0.7136,0.7581,0.7069,0.5219,0.4992,0.0124
PG31824_text.txt,5,109804,0.7136,0.7581,0.7167,0.5282,0.4982,0.0181
PG31824_text.txt,6,109804,0.7136,0.7581,0.7331,0.4789,0.4964,0.0128
PG31824_text.txt,7,109804,0.7136,0.7581,0.6838,0.4988,0.5012,0.015
PG31824_text.txt,8,109804,0.7136,0.7581,0.6689,0.5142,0.4977,0.0112
PG31824_text.txt,9,109804,0.7136,0.7581,0.6759,0.5148,0.4967,0.0124
PG31824_text.txt,10,109804,0.7136,0.7581,0.6506,0.4896,0.5037,0.0165
PG31824_text.txt,11,109804,0.7136,0.7581,0.6382,0.4944,0.5001,0.0155
PG31824_text.txt,12,109804,0.7136,0.7581,0.6036,0.477,0.501,0.0142
PG31824_text.txt,13,109804,0.7136,0.7581,0.6241,0.5184,0.5002,0.0172
PG31824_text.txt,14,109804,0.7136,0.7581,0.6535,0.4861,0.5057,0.0144
PG31824_text.txt,15,109804,0.7136,0.7581,0.6617,0.4765,0.4945,0.0108
PG31824_text.txt,16,109804,0.7136,0.7581,0.6738,0.5121,0.4962,0.0099
PG31824_text.txt,17,109804,0.7136,0.7581,0.6287,0.4994,0.4985,0.0111
PG31824_text.txt,18,109804,0.7136,0.7581,0.6402,0.4975,0.5006,0.0126
PG31824_text.txt,19,109804,0.7136,0.7581,0.6308,0.4765,0.4974,0.0094
PG31824_text.txt,20,109804,0.7136,0.7581,0.6285,0.4972,0.4986,0.0127
