file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG557_text.txt,1,18131,0.7034,0.6888,0.6658,0.4928,0.4991,0.0123
PG557_text.txt,2,18131,0.7034,0.6888,0.6922,0.4814,0.4931,0.0139
PG557_text.txt,3,18131,0.7034,0.6888,0.7456,0.4924,0.4976,0.0217
PG557_text.txt,4,18131,0.7034,0.6888,0.6761,0.5081,0.5058,0.0141
PG557_text.txt,5,18131,0.7034,0.6888,0.6295,0.495,0.5032,0.0235
PG557_text.txt,6,18131,0.7034,0.6888,0.6675,0.4905,0.4932,0.0138
PG557_text.txt,7,18131,0.7034,0.6888,0.6739,0.4859,0.5036,0.0189
PG557_text.txt,8,18131,0.7034,0.6888,0.6923,0.529,0.5082,0.019
PG557_text.txt,9,18131,0.7034,0.6888,0.5613,0.4896,0.498,0.0139
PG557_text.txt,10,18131,0.7034,0.6888,0.5986,0.5126,0.4946,0.0144
PG557_text.txt,11,18131,0.7034,0.6888,0.6527,0.5002,0.4928,0.0214
PG557_text.txt,12,18131,0.7034,0.6888,0.6484,0.5021,0.497,0.0207
PG557_text.txt,13,18131,0.7034,0.6888,0.6743,0.4959,0.5068,0.0092
PG557_text.txt,14,18131,0.7034,0.6888,0.6536,0.4737,0.4965,0.0194
PG557_text.txt,15,18131,0.7034,0.6888,0.704,0.5203,0.5031,0.0097
PG557_text.txt,16,18131,0.7034,0.6888,0.6341,0.4987,0.4995,0.0165
PG557_text.txt,17,18131,0.7034,0.6888,0.606,0.4961,0.5031,0.0197
PG557_text.txt,18,18131,0.7034,0.6888,0.5747,0.5025,0.5052,0.0185
PG557_text.txt,19,18131,0.7034,0.6888,0.6549,0.5109,0.5037,0.0257
PG557_text.txt,20,18131,0.7034,0.6888,0.6422,0.4786,0.4924,0.0137
