file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,1,0.902,0.7758,0.0053,0.7696,1.1626,1.172
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,2,1.006,0.7728,0.004,0.7758,1.3017,1.2968
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,3,0.9698,0.7731,0.0048,0.7739,1.2544,1.2531
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,4,0.977,0.7743,0.0044,0.7802,1.2617,1.2522
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,5,0.9569,0.7748,0.004,0.7767,1.235,1.232
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,6,0.9341,0.7742,0.0046,0.7747,1.2065,1.2058
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,7,0.8746,0.7748,0.0042,0.7734,1.1288,1.1308
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,8,0.8834,0.7765,0.0044,0.7707,1.1377,1.1463
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,9,0.8656,0.7748,0.0036,0.7763,1.1171,1.115
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,10,0.8833,0.7736,0.0039,0.775,1.1418,1.1398
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,11,0.8838,0.7753,0.0042,0.7738,1.1399,1.1421
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,12,0.8941,0.7751,0.0038,0.767,1.1536,1.1657
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,13,0.853,0.7731,0.0032,0.7758,1.1033,1.0994
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,14,0.8704,0.7743,0.0042,0.7744,1.1242,1.124
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,15,0.8263,0.776,0.0026,0.78,1.0648,1.0593
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,16,0.8443,0.7737,0.0042,0.7789,1.0912,1.0839
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,17,0.8541,0.7764,0.0035,0.7666,1.1001,1.1141
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,18,0.8434,0.7758,0.0037,0.7694,1.0872,1.0961
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,19,0.8493,0.7735,0.004,0.7791,1.098,1.09
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.6,20,0.835,0.7745,0.0039,0.7801,1.078,1.0704
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,1,0.9962,0.8375,0.0044,0.8301,1.1894,1.2001
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,2,1.1023,0.8365,0.0048,0.84,1.3178,1.3123
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,3,1.0782,0.8348,0.0053,0.8416,1.2916,1.2811
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,4,1.0758,0.8363,0.004,0.8436,1.2864,1.2753
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,5,1.0609,0.8369,0.0066,0.8339,1.2676,1.2721
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,6,1.0155,0.8348,0.006,0.8362,1.2165,1.2145
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,7,0.9635,0.8364,0.005,0.8364,1.152,1.152
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,8,0.9534,0.8373,0.004,0.8428,1.1387,1.1312
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,9,0.9533,0.8369,0.0052,0.8425,1.1392,1.1316
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,10,0.9771,0.8367,0.0041,0.8368,1.1678,1.1676
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,11,0.9643,0.838,0.0046,0.836,1.1506,1.1535
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,12,0.9813,0.8382,0.0068,0.8321,1.1707,1.1794
PG944_text.txt,202705,81890,81395,0.6611,0.7003,0.7,13,0.9212,0.8367,0.0063,0.8371,1.1011,1.1004
