file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG9879_text.txt,1,66089,0.7561,0.8044,0.6244,0.5783,0.5001,0.0109
PG9879_text.txt,2,66089,0.7561,0.8044,0.6864,0.4926,0.4903,0.0062
PG9879_text.txt,3,66089,0.7561,0.8044,0.7196,0.4834,0.4998,0.0154
PG9879_text.txt,4,66089,0.7561,0.8044,0.64,0.5411,0.4961,0.0168
PG9879_text.txt,5,66089,0.7561,0.8044,0.6714,0.4866,0.5004,0.0141
PG9879_text.txt,6,66089,0.7561,0.8044,0.6786,0.5026,0.5,0.0142
PG9879_text.txt,7,66089,0.7561,0.8044,0.7056,0.4861,0.4981,0.0059
PG9879_text.txt,8,66089,0.7561,0.8044,0.6709,0.4989,0.4991,0.0135
PG9879_text.txt,9,66089,0.7561,0.8044,0.6668,0.5077,0.5007,0.015
PG9879_text.txt,10,66089,0.7561,0.8044,0.6362,0.4873,0.4991,0.0129
PG9879_text.txt,11,66089,0.7561,0.8044,0.6593,0.5049,0.5037,0.0145
PG9879_text.txt,12,66089,0.7561,0.8044,0.6389,0.5008,0.5026,0.0158
PG9879_text.txt,13,66089,0.7561,0.8044,0.6284,0.5175,0.5045,0.0153
PG9879_text.txt,14,66089,0.7561,0.8044,0.6629,0.4863,0.4944,0.0142
PG9879_text.txt,15,66089,0.7561,0.8044,0.6267,0.5058,0.5001,0.0151
PG9879_text.txt,16,66089,0.7561,0.8044,0.6343,0.5096,0.5005,0.012
PG9879_text.txt,17,66089,0.7561,0.8044,0.604,0.5008,0.4924,0.0138
PG9879_text.txt,18,66089,0.7561,0.8044,0.5434,0.5328,0.4965,0.0106
PG9879_text.txt,19,66089,0.7561,0.8044,0.6074,0.4937,0.4988,0.0119
PG9879_text.txt,20,66089,0.7561,0.8044,0.6463,0.4811,0.4955,0.0159
