file,N_all,N_filt,M_filtered,alpha,alpha0,q,k,B_orig,B_surr_mean,B_surr_std,B_fgn,orig_surr,orig_fgn
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,1,0.8909,0.7757,0.0048,0.7745,1.1485,1.1503
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,2,1.1294,0.7736,0.0048,0.7781,1.46,1.4514
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,3,0.9282,0.7775,0.0077,0.7681,1.1939,1.2085
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,4,0.8607,0.7739,0.0064,0.7751,1.1122,1.1105
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,5,0.8585,0.776,0.0068,0.7694,1.1063,1.1158
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,6,0.8788,0.7746,0.006,0.7685,1.1346,1.1435
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,7,0.8904,0.7778,0.0061,0.7655,1.1449,1.1632
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,8,0.8673,0.7748,0.0061,0.7699,1.1194,1.1265
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,9,0.8554,0.7751,0.0036,0.7723,1.1035,1.1076
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,10,0.8443,0.7734,0.0072,0.7668,1.0917,1.1011
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,11,0.8508,0.7739,0.0061,0.772,1.0994,1.1021
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,12,0.8451,0.7744,0.0069,0.7727,1.0913,1.0937
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,13,0.8807,0.7726,0.0058,0.7717,1.1398,1.1412
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,14,0.8236,0.7758,0.005,0.7661,1.0616,1.075
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,15,0.81,0.7764,0.0082,0.7764,1.0433,1.0432
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,16,0.8087,0.7751,0.004,0.7794,1.0433,1.0376
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,17,0.8517,0.7754,0.0067,0.7744,1.0985,1.0998
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,18,0.8253,0.7743,0.0043,0.7846,1.0658,1.0519
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,19,0.813,0.7743,0.0065,0.7663,1.0499,1.0608
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.6,20,0.8187,0.7743,0.0072,0.7786,1.0574,1.0515
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,1,0.9478,0.8367,0.0062,0.8301,1.1327,1.1418
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,2,1.2638,0.8376,0.0067,0.8363,1.5088,1.5112
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,3,1.0085,0.8359,0.0083,0.8274,1.2064,1.2188
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,4,0.9443,0.8383,0.0084,0.8328,1.1265,1.1339
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,5,0.9233,0.8378,0.0075,0.825,1.1021,1.1192
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,6,0.9606,0.84,0.0067,0.8418,1.1435,1.1411
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,7,0.9624,0.838,0.0063,0.8264,1.1485,1.1646
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,8,0.9665,0.8366,0.0077,0.8421,1.1553,1.1477
PG1290_text.txt,105194,37255,36702,0.6506,0.6656,0.7,9,0.9128,0.836,0.0073,0.8393,1.0919,1.0876
