file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
PG1228_text.txt,1,59064,0.7772,0.8275,0.686,0.5404,0.4948,0.0176
PG1228_text.txt,2,59064,0.7772,0.8275,0.758,0.5308,0.4956,0.0138
PG1228_text.txt,3,59064,0.7772,0.8275,0.7794,0.4903,0.5044,0.0143
PG1228_text.txt,4,59064,0.7772,0.8275,0.6865,0.5574,0.498,0.0133
PG1228_text.txt,5,59064,0.7772,0.8275,0.7385,0.5374,0.4976,0.0089
PG1228_text.txt,6,59064,0.7772,0.8275,0.784,0.4892,0.5073,0.0081
PG1228_text.txt,7,59064,0.7772,0.8275,0.7512,0.5363,0.4982,0.0144
PG1228_text.txt,8,59064,0.7772,0.8275,0.7176,0.5047,0.4978,0.0169
PG1228_text.txt,9,59064,0.7772,0.8275,0.6984,0.5014,0.4969,0.0083
PG1228_text.txt,10,59064,0.7772,0.8275,0.6936,0.4905,0.5107,0.0142
PG1228_text.txt,11,59064,0.7772,0.8275,0.6197,0.5283,0.5013,0.0171
PG1228_text.txt,12,59064,0.7772,0.8275,0.6796,0.5031,0.4976,0.0205
PG1228_text.txt,13,59064,0.7772,0.8275,0.6551,0.4884,0.5031,0.0094
PG1228_text.txt,14,59064,0.7772,0.8275,0.6946,0.4969,0.5007,0.0076
PG1228_text.txt,15,59064,0.7772,0.8275,0.6886,0.5171,0.504,0.0078
PG1228_text.txt,16,59064,0.7772,0.8275,0.7191,0.5154,0.5026,0.011
PG1228_text.txt,17,59064,0.7772,0.8275,0.6857,0.5273,0.5005,0.0115
PG1228_text.txt,18,59064,0.7772,0.8275,0.6772,0.4932,0.4918,0.0125
PG1228_text.txt,19,59064,0.7772,0.8275,0.6841,0.5095,0.4975,0.0139
PG1228_text.txt,20,59064,0.7772,0.8275,0.6829,0.4937,0.508,0.0144
